INDIVIDUAL_ID	#EVALUATION	STRONGEST	MEDIUM	WEAKEST	RATIO	AGGREGATED
individualHI.cpp	0	0	0	0	0,0057842437	0,0057842437
individualHI.cpp	1	0	0	3	0,0122397688	1,0122397688
individualHI.cpp	2	0	3	3	0,0196254624	6,0196254624
individualHI.cpp	3	0	0	3	0,0136750751	1,0136750751
individualHI.cpp	4	0	0	0	0,0065357063	0,0065357063
individualHI.cpp	5	0	0	3	0,0113065531	1,0113065531
individualHI.cpp	6	0	3	3	0,0211651336	6,0211651336
individualHI.cpp	7	0	3	3	0,0195300128	6,0195300128
individualHI.cpp	8	0	0	3	0,0139639518	1,0139639518
individualHI.cpp	9	0	0	3	0,0112734662	1,0112734662
individualHI.cpp	10	0	0	0	0,0064275958	0,0064275958
individualHI.cpp	11	3	3	3	0,0226236088	27,0226236088
individualHI.cpp	12	0	0	0	0,0064002928	0,0064002928
individualHI.cpp	13	0	0	0	0,0061471419	0,0061471419
individualHI.cpp	14	0	0	0	0,0058035213	0,0058035213
individualHI.cpp	15	0	0	0	0,0057519394	0,0057519394
individualHI.cpp	16	0	0	3	0,0133059699	1,0133059699
individualHI.cpp	17	0	0	3	0,0128323146	1,0128323146
individualHI.cpp	18	0	0	0	0,0066867108	0,0066867108
individualHI.cpp	19	0	0	3	0,0133048674	1,0133048674
individualHI.cpp	20	0	0	3	0,0127184469	1,0127184469
individualHI.cpp	21	0	3	3	0,0192504098	6,0192504098
individualHI.cpp	22	0	0	3	0,0125736846	1,0125736846
individualHI.cpp	23	0	0	0	0,0063942604	0,0063942604
individualHI.cpp	24	0	0	3	0,0109740823	1,0109740823
individualHI.cpp	25	0	0	3	0,0119125183	1,0119125183
individualHI.cpp	26	0	0	0	0,0054135504	0,0054135504
individualHI.cpp	27	0	6	3	0,0239872444	11,0239872444
individualHI.cpp	28	0	3	3	0,0215263941	6,0215263941
individualHI.cpp	29	0	0	0	0,006559027	0,006559027
individualHI.cpp	30	0	0	0	0,0063549451	0,0063549451
individualHI.cpp	31	0	0	0	0,0059307399	0,0059307399
individualHI.cpp	32	0	0	0	0,0060407744	0,0060407744
individualHI.cpp	33	0	0	0	0,005702225	0,005702225
individualHI.cpp	34	0	0	0	0,0070688515	0,0070688515
individualHI.cpp	35	0	0	0	0,006812117	0,006812117
individualHI.cpp	36	0	0	0	0,0061539716	0,0061539716
individualHI.cpp	37	0	0	0	0,0067112112	0,0067112112
individualHI.cpp	38	0	0	0	0,0062594737	0,0062594737
individualHI.cpp	39	0	0	0	0,0066812783	0,0066812783
individualHI.cpp	40	0	0	0	0,0064300186	0,0064300186
individualHI.cpp	41	0	0	0	0,0062005178	0,0062005178
individualHI.cpp	42	0	0	0	0,0058909886	0,0058909886
individualHI.cpp	43	0	0	0	0,006202034	0,006202034
individualHI.cpp	44	0	0	0	0,007088525	0,007088525
individualHI.cpp	45	0	0	0	0,0064119102	0,0064119102
individualHI.cpp	46	0	0	0	0,0069419947	0,0069419947
individualHI.cpp	47	0	0	0	0,0065468183	0,0065468183
individualHI.cpp	48	0	0	0	0,0064983539	0,0064983539
individualHI.cpp	49	0	0	0	0,0056217548	0,0056217548
individualHI.cpp	50	0	0	0	0,0064966099	0,0064966099
individualHI.cpp	51	0	0	0	0,0065092747	0,0065092747
individualHI.cpp	52	0	0	0	0,0062473765	0,0062473765
individualHI.cpp	53	0	0	0	0,0074234317	0,0074234317
individualHI.cpp	54	0	0	0	0,006639594	0,006639594
individualHI.cpp	55	0	0	0	0,0065047613	0,0065047613
individualHI.cpp	56	0	0	0	0,0068261023	0,0068261023
individualHI.cpp	57	0	0	0	0,0062117559	0,0062117559
individualHI.cpp	58	0	0	0	0,0069262445	0,0069262445
individualHI.cpp	59	0	0	0	0,0059988458	0,0059988458
individualHI.cpp	60	0	0	3	0,0144940577	1,0144940577
individualHI.cpp	61	0	0	0	0,0059880078	0,0059880078
individualHI.cpp	62	0	0	3	0,0130103653	1,0130103653
individualHI.cpp	63	0	0	3	0,0131269881	1,0131269881
individualHI.cpp	64	0	0	0	0,0061774301	0,0061774301
individualHI.cpp	65	0	0	0	0,0054347363	0,0054347363
individualHI.cpp	66	3	3	3	0,0180463628	27,0180463628
individualHI.cpp	67	0	0	0	0,005979862	0,005979862
individualHI.cpp	68	0	0	3	0,0144227272	1,0144227272
individualHI.cpp	69	0	0	3	0,0121089963	1,0121089963
individualHI.cpp	70	0	0	6	0,0154750773	2,0154750773
individualHI.cpp	71	0	0	3	0,0130443401	1,0130443401
individualHI.cpp	72	3	3	3	0,0240920744	27,0240920744
individualHI.cpp	73	0	0	0	0,0058290581	0,0058290581
individualHI.cpp	74	0	0	0	0,0063095215	0,0063095215
individualHI.cpp	75	0	3	3	0,0185631884	6,0185631884
individualHI.cpp	76	3	3	3	0,0239774139	27,0239774139
individualHI.cpp	77	0	3	3	0,0180409789	6,0180409789
individualHI.cpp	78	0	0	0	0,0041600906	0,0041600906
individualHI.cpp	79	0	0	3	0,0119997675	1,0119997675
individualHI.cpp	80	0	0	3	0,0131450017	1,0131450017
individualHI.cpp	81	0	0	0	0,0052108157	0,0052108157
individualHI.cpp	82	0	0	3	0,0115749716	1,0115749716
individualHI.cpp	83	3	3	3	0,022365632	27,022365632
individualHI.cpp	84	0	0	0	0,0058124719	0,0058124719
individualHI.cpp	85	0	0	0	0,0057995414	0,0057995414
individualHI.cpp	86	0	0	0	0,0070891288	0,0070891288
individualHI.cpp	87	0	0	3	0,011703609	1,011703609
individualHI.cpp	88	0	0	0	0,0056026931	0,0056026931
individualHI.cpp	89	3	3	3	0,0199030294	27,0199030294
individualHK.cpp	0	0	3	6	0,0377062095	7,0377062095
individualHK.cpp	1	0	9	3	0,032887971	16,032887971
individualHK.cpp	2	0	6	6	0,0365208816	12,0365208816
individualHK.cpp	3	0	3	3	0,0343123117	6,0343123117
individualHK.cpp	4	0	6	6	0,0361264266	12,0361264266
individualHK.cpp	5	3	3	6	0,0398302242	28,0398302242
individualHK.cpp	6	3	3	6	0,0360665962	28,0360665962
individualHK.cpp	7	0	0	6	0,023619178	2,023619178
individualHK.cpp	8	0	6	9	0,0366553679	13,0366553679
individualHK.cpp	9	0	0	9	0,0326132175	3,0326132175
individualHK.cpp	10	3	3	6	0,0505508934	28,0505508934
individualHK.cpp	11	0	6	6	0,0431117052	12,0431117052
individualHK.cpp	12	3	9	6	0,0417446545	38,0417446545
individualHK.cpp	13	0	9	6	0,0398501452	17,0398501452
individualHK.cpp	14	0	0	3	0,0214634718	1,0214634718
individualHK.cpp	15	0	3	6	0,0338900831	7,0338900831
individualHK.cpp	16	0	0	9	0,0237937857	3,0237937857
individualHK.cpp	17	3	6	6	0,0407723732	33,0407723732
individualHK.cpp	18	0	3	6	0,0294800427	7,0294800427
individualHK.cpp	19	0	0	3	0,0241810831	1,0241810831
individualHK.cpp	20	0	0	9	0,0279180697	3,0279180697
individualHK.cpp	21	3	6	3	0,0391680276	32,0391680276
individualHK.cpp	22	3	3	3	0,0352569319	27,0352569319
individualHK.cpp	23	0	6	6	0,0495065374	12,0495065374
individualHK.cpp	24	0	6	6	0,0419899947	12,0419899947
individualHK.cpp	25	3	6	9	0,0422123637	34,0422123637
individualHK.cpp	26	0	6	9	0,0357113374	13,0357113374
individualHK.cpp	27	0	0	9	0,0504362349	3,0504362349
individualHK.cpp	28	0	6	6	0,035953547	12,035953547
individualHK.cpp	29	0	3	6	0,0313459153	7,0313459153
individualHK.cpp	30	0	3	9	0,0349304301	8,0349304301
individualHK.cpp	31	0	0	9	0,0278793318	3,0278793318
individualHK.cpp	32	0	6	3	0,0387350272	11,0387350272
individualHK.cpp	33	3	9	9	0,0376035166	39,0376035166
individualHK.cpp	34	0	6	9	0,0355519783	13,0355519783
individualHK.cpp	35	3	3	9	0,0442362508	29,0442362508
