Gen,ID,Fitness
1,IdA,6.0214480681
1,IdA,0.0060454686
1,IdA,6.0194779797
1,IdA,0.0056500375
1,IdA,1.0134950074
1,IdA,1.0112393718
1,IdA,0.0056977057
1,IdA,0.0053243062
1,IdA,6.0187639123
1,IdA,0.0054887884
1,IdA,0.0055682198
1,IdA,6.0203285002
1,IdA,1.0140911296
1,IdA,1.0127026048
1,IdA,1.0112011011
1,IdA,2.0141508301
1,IdA,0.0052525388
1,IdA,0.0055793114
1,IdA,1.0115329818
1,IdA,6.0196260885
1,IdA,0.0064646973
1,IdA,6.0172509117
1,IdA,0.0057302666
1,IdA,1.0127194305
1,IdA,1.0126530184
1,IdA,6.0199618621
1,IdA,1.0110934513
1,IdA,0.0057450918
1,IdA,0.0057168784
1,IdA,0.005665261
1,IdB,0.0041735665
1,IdB,0.0039573268
1,IdB,0.0047746466
1,IdB,0.0051340551
1,IdB,0.0050987229
1,IdB,0.0039481673
1,IdB,0.0042870985
1,IdB,0.0039824934
1,IdB,0.004899615
1,IdB,0.0043621489
1,IdB,0.004430246
1,IdB,0.0050266115
1,IdB,1.0100546617
1,IdB,0.0041575499
1,IdB,0.0040031796
1,IdB,0.0041233241
1,IdB,0.0041033381
1,IdB,0.0048835122
1,IdB,0.0047673928
1,IdB,0.0052274353
1,IdB,0.0041286981
1,IdB,0.0046474957
1,IdB,0.004940231
1,IdB,0.0040819813
1,IdB,0.0063994828
1,IdB,0.0043040314
1,IdB,0.0041135475
1,IdB,0.0047876685
1,IdB,0.0049019564
1,IdB,0.0048011551
1,IdC,0.0052997094
1,IdC,1.0129305551
1,IdC,27.0164739679
1,IdC,0.0045759978
1,IdC,6.0179556158
1,IdC,1.0109523151
1,IdC,0.0037776032
1,IdC,0.0038859788
1,IdC,0.0038979124
1,IdC,0.005227532
1,IdC,0.0041233717
1,IdC,27.0199351452
1,IdC,49.0168783124
1,IdC,1.0081153124
1,IdC,2.0144318062
1,IdC,0.0040372797
1,IdC,0.0045392505
1,IdC,0.0048545223
1,IdC,27.0162743052
1,IdC,0.0037015645
1,IdC,0.0052631579
1,IdC,0.0040476198
1,IdC,11.0153167659
1,IdC,27.0151063545
1,IdC,1.0093162655
1,IdC,0.004512184
1,IdC,28.0201605326
1,IdC,0.0046534704
1,IdC,0.0045204683
1,IdC,0.0045993509
1,IdD,6.0206776596
1,IdD,11.0257115477
1,IdD,0.0082230142
1,IdD,0.0087461171
1,IdD,0.0079046347
1,IdD,0.0066287751
1,IdD,0.0069640275
1,IdD,1.0174518821
1,IdD,0.0073416138
1,IdD,32.0281198947
1,IdD,27.0289296441
1,IdD,6.0212205054
1,IdD,0.00726314
1,IdD,6.0255014171
1,IdD,6.0197652553
1,IdD,28.027894249
1,IdD,1.0165544065
1,IdD,0.0064917886
1,IdD,0.0080089829
1,IdD,0.007347485
1,IdD,0.0077422816
1,IdD,0.0070511335
1,IdD,0.0069364601
1,IdD,1.0174855789
1,IdD,0.0063212726
1,IdD,1.0150581884
1,IdD,1.0168185857
1,IdD,11.0236709942
1,IdD,0.0083245474
1,IdD,1.0152854986
15,IdHI,0.0063549451
15,IdHI,0.0059307399
15,IdHI,0.0060407744
15,IdHI,0.005702225
15,IdHI,0.0070688515
15,IdHI,0.006812117
15,IdHI,0.0061539716
15,IdHI,0.0067112112
15,IdHI,0.0062594737
15,IdHI,0.0066812783
15,IdHI,0.0064300186
15,IdHI,0.0062005178
15,IdHI,0.0058909886
15,IdHI,0.006202034
15,IdHI,0.007088525
15,IdHI,0.0064119102
15,IdHI,0.0069419947
15,IdHI,0.0065468183
15,IdHI,0.0064983539
15,IdHI,0.0056217548
15,IdHI,0.0064966099
15,IdHI,0.0065092747
15,IdHI,0.0062473765
15,IdHI,0.0074234317
15,IdHI,0.006639594
15,IdHI,0.0065047613
15,IdHI,0.0068261023
15,IdHI,0.0062117559
15,IdHI,0.0069262445
15,IdHI,0.0059988458
15,IdHK,8.0349304301
15,IdHK,3.0278793318
15,IdHK,11.0387350272
15,IdHK,39.0376035166
15,IdHK,13.0355519783
15,IdHK,29.0442362508
15,IdHK,49.034989406
15,IdHK,34.0468711925
15,IdHK,14.0416370323
15,IdHK,3.0247354467
15,IdHK,13.0363949164
15,IdHK,41.043439294
15,IdHK,34.0386023722
15,IdHK,7.038467047
15,IdHK,34.0473374495
15,IdHK,13.0322334584
15,IdHK,28.038267358
15,IdHK,8.0394167345
15,IdHK,7.0300601486
15,IdHK,7.0340368164
15,IdHK,7.0346750577
15,IdHK,33.0443105357
15,IdHK,40.0574271427
15,IdHK,29.0412428956
15,IdHK,14.0467499391
15,IdHK,7.0344218012
15,IdHK,2.0282573985
15,IdHK,4.0300604276
15,IdHK,9.0479647997
15,IdHK,49.0412029621
15,IdHM,6.0161887793
15,IdHM,1.0125148128
15,IdHM,0.0052934393
15,IdHM,1.0106443491
15,IdHM,1.0110300239
15,IdHM,27.0184301003
15,IdHM,0.0054993096
15,IdHM,0.0058060554
15,IdHM,1.0105056016
15,IdHM,0.0056156641
15,IdHM,1.0108710626
15,IdHM,0.0047668844
15,IdHM,6.0172280057
15,IdHM,1.0109887299
15,IdHM,0.005484608
15,IdHM,6.0155545336
15,IdHM,1.0118356042
15,IdHM,0.0055292586
15,IdHM,0.0055906822
15,IdHM,6.016098874
15,IdHM,6.0155476516
15,IdHM,1.0114321719
15,IdHM,0.0050980779
15,IdHM,0.0056410849
15,IdHM,0.005629717
15,IdHM,6.0151165001
15,IdHM,0.0058090081
15,IdHM,6.0155898435
15,IdHM,0.0048884085
15,IdHM,6.0165833964
30,IdQB,7.0337491363
30,IdQB,7.0340834753
30,IdQB,12.041155182
30,IdQB,2.0210825448
30,IdQB,34.0557915508
30,IdQB,11.0382544974
30,IdQB,2.0237035158
30,IdQB,13.0463585619
30,IdQB,13.036961272
30,IdQB,12.0447115462
30,IdQB,11.0340138497
30,IdQB,6.0322819034
30,IdQB,11.0418649407
30,IdQB,14.0443005637
30,IdQB,29.037605309
30,IdQB,17.0370509992
30,IdQB,2.0207172939
30,IdQB,2.0247869749
30,IdQB,7.0322408047
30,IdQB,28.0417626813
30,IdQB,32.0400960999
30,IdQB,8.0389503068
30,IdQB,7.0342538467
30,IdQB,34.0395833715
30,IdQB,33.0440772843
30,IdQB,8.0383321721
30,IdQB,34.0443236505
30,IdQB,28.0425967599
30,IdQB,0.010616528
30,IdQB,7.034937554
30,IdQC,28.045347244
30,IdQC,8.0436764418
30,IdQC,1.0238063611
30,IdQC,7.0349365987
30,IdQC,8.0364238082
30,IdQC,13.0545608977
30,IdQC,12.0404155062
30,IdQC,33.0457477652
30,IdQC,28.0398891505
30,IdQC,2.026685916
30,IdQC,34.0382712364
30,IdQC,28.0427776399
30,IdQC,8.0412886305
30,IdQC,28.0381063343
30,IdQC,33.0430952463
30,IdQC,3.0368745404
30,IdQC,18.0445452451
