INDIVIDUAL_ID	#EVALUATION	STRONGEST	MEDIUM	WEAKEST	RATIO	AGGREGATED
individualQB.cpp	0	3	3	6	0,0325435134	28,0325435134
individualQB.cpp	1	0	0	6	0,0220510602	2,0220510602
individualQB.cpp	2	3	3	9	0,0366652822	29,0366652822
individualQB.cpp	3	3	6	6	0,0454065353	33,0454065353
individualQB.cpp	4	0	0	6	0,0254997237	2,0254997237
individualQB.cpp	5	0	6	9	0,0447408078	13,0447408078
individualQB.cpp	6	0	0	6	0,0241811067	2,0241811067
individualQB.cpp	7	0	3	6	0,032107001	7,032107001
individualQB.cpp	8	0	0	6	0,0218384595	2,0218384595
individualQB.cpp	9	0	0	3	0,0215903593	1,0215903593
individualQB.cpp	10	0	3	9	0,0437337358	8,0437337358
individualQB.cpp	11	0	3	3	0,0334802354	6,0334802354
individualQB.cpp	12	0	3	3	0,0312150918	6,0312150918
individualQB.cpp	13	0	6	3	0,0429710427	11,0429710427
individualQB.cpp	14	0	6	3	0,0348526717	11,0348526717
individualQB.cpp	15	0	3	6	0,0349604213	7,0349604213
individualQB.cpp	16	0	6	6	0,0403473886	12,0403473886
individualQB.cpp	17	0	0	9	0,0328070668	3,0328070668
individualQB.cpp	18	0	0	6	0,0216477714	2,0216477714
individualQB.cpp	19	0	0	9	0,0264093582	3,0264093582
individualQB.cpp	20	3	6	6	0,0436524671	33,0436524671
individualQB.cpp	21	3	6	9	0,0486086798	34,0486086798
individualQB.cpp	22	0	0	9	0,0271786273	3,0271786273
individualQB.cpp	23	0	0	6	0,0247604296	2,0247604296
individualQB.cpp	24	3	9	6	0,0533696558	38,0533696558
individualQB.cpp	25	0	6	6	0,0390382683	12,0390382683
individualQB.cpp	26	0	3	3	0,0288680266	6,0288680266
individualQB.cpp	27	3	3	9	0,0430885283	29,0430885283
individualQB.cpp	28	3	6	9	0,0563990823	34,0563990823
individualQB.cpp	29	0	3	6	0,0317049528	7,0317049528
individualQB.cpp	30	0	6	6	0,0353851649	12,0353851649
individualQB.cpp	31	3	6	6	0,0389156606	33,0389156606
individualQB.cpp	32	6	6	6	0,0421821154	54,0421821154
individualQB.cpp	33	3	3	6	0,0369128418	28,0369128418
individualQB.cpp	34	0	6	9	0,0355830346	13,0355830346
individualQB.cpp	35	0	6	9	0,0391147438	13,0391147438
individualQB.cpp	36	0	6	9	0,036854616	13,036854616
individualQB.cpp	37	0	0	6	0,0200636932	2,0200636932
individualQB.cpp	38	0	3	6	0,0295440031	7,0295440031
individualQB.cpp	39	3	6	9	0,0366723179	34,0366723179
individualQB.cpp	40	3	6	9	0,040988482	34,040988482
