Gen,ID,Fitness
0,Id0-1,0.716981
0,Id0-1,0.716981
0,Id0-1,0.698113
0,Id0-1,0.698113
0,Id0-1,0.698113
0,Id0-1,0.660377
0,Id0-1,0.698113
0,Id0-1,0.698113
0,Id0-1,0.716981
0,Id0-1,0.716981
0,Id0-1,0.698113
0,Id0-1,0.698113
0,Id0-1,0.698113
0,Id0-1,0.716981
0,Id0-1,0.716981
0,Id0-1,0.716981
0,Id0-1,0.698113
0,Id0-1,0.716981
0,Id0-1,0.698113
0,Id0-1,0.679245
0,Id0-1,0.716981
0,Id0-1,0.716981
0,Id0-1,0.698113
0,Id0-1,0.660377
0,Id0-1,0.698113
0,Id0-1,0.698113
0,Id0-1,0.698113
0,Id0-1,0.433962
0,Id0-1,0.716981
0,Id0-1,0.716981
0,Id0-1,0.698113
0,Id1-1,0.716981
0,Id1-1,0.716981
0,Id1-1,0.433962
0,Id1-1,0.433962
0,Id1-1,0.698113
0,Id1-1,0.716981
0,Id1-1,0.716981
0,Id1-1,0.698113
0,Id1-1,0.698113
0,Id1-1,0.698113
0,Id1-1,0.264151
0,Id1-1,0.660377
0,Id1-1,0.660377
0,Id1-1,0.716981
0,Id1-1,0.698113
0,Id1-1,0.698113
0,Id1-1,0.698113
0,Id1-1,0.716981
0,Id1-1,0.622642
0,Id1-1,0.716981
0,Id1-1,0.716981
0,Id1-1,0.716981
0,Id1-1,0.716981
0,Id1-1,0.641509
0,Id1-1,0.698113
0,Id1-1,0.433962
0,Id1-1,0.660377
0,Id1-1,0.716981
0,Id1-1,0.433962
0,Id1-1,0.716981
0,Id1-1,0.660377
0,Id2-1,0.698113
0,Id2-1,0.471698
0,Id2-1,0.679245
0,Id2-1,0.679245
0,Id2-1,0.698113
0,Id2-1,0.698113
0,Id2-1,0.679245
0,Id2-1,0.641509
0,Id2-1,0.679245
0,Id2-1,0.698113
0,Id2-1,0.433962
0,Id2-1,0.679245
0,Id2-1,0.698113
0,Id2-1,0.679245
0,Id2-1,0.679245
0,Id2-1,0.698113
0,Id2-1,0.679245
0,Id2-1,0.679245
0,Id2-1,0.698113
0,Id2-1,0.660377
0,Id2-1,0.698113
0,Id2-1,0.679245
0,Id2-1,0.660377
0,Id2-1,0.660377
0,Id2-1,0.679245
0,Id2-1,0.660377
0,Id2-1,0.679245
0,Id2-1,0.716981
0,Id2-1,0.433962
0,Id2-1,0.660377
0,Id2-1,0.471698
0,Id3-0,0.698113
0,Id3-0,0.698113
0,Id3-0,0.679245
0,Id3-0,0.698113
